codigo_anvisa,nome_produto,numero_registro,numero_processo,principio_ativo,categoria_regulatoria,cnpj_laboratorio,razao_social_laboratorio
491983,ACESYL,164000001,25351407134200601,CLORIDRATO DE TIAMINA,Específico,05155425000193,VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA
1179589,ACETATO DE ABIRATERONA,100431245,25351368629201788,acetato de abiraterona,Genérico,61190096000192,EUROFARMA LABORATÓRIOS S.A.
797344,ACETATO DE CIPROTERONA+ETINILESTRADIOL,155840400,25351703022201132,"ACETATO DE CIPROTERONA, ETINILESTRADIOL",Genérico,05161069000110,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A
1097881,ACETATO DE CIPROTERONA+ETINILESTRADIOL,177940029,25351056403201375,"ACETATO DE CIPROTERONA, ETINILESTRADIOL",Genérico,09545589000188,MABRA FARMACEUTICA LTDA
1010056,ACETATO DE CLORMADINONA + ETINILESTRADIOL,105831005,25351578919201469,"ACETATO DE CLORMADINONA, ETINILESTRADIOL",Genérico,45992062000165,GERMED FARMACEUTICA LTDA
1010058,ACETATO DE CLORMADINONA + ETINILESTRADIOL,167730674,25351578918201414,"ACETATO DE CLORMADINONA, ETINILESTRADIOL",Genérico,05044984000126,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA
3350385,ACETATO DE CLORMADINONA + ETINILESTRADIOL,118190283,25351062996202210,"ACETATO DE CLORMADINONA, ETINILESTRADIOL",Genérico,92265552000905,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
496209,ACETATO DE DEXAMETASONA,102350848,25351486639200615,ACETATO DE DEXAMETASONA,Genérico,57507378000365,EMS S/A
496202,ACETATO DE DEXAMETASONA,105830544,25351482857200681,ACETATO DE DEXAMETASONA,Genérico,45992062000165,GERMED FARMACEUTICA LTDA
406644,ACETATO DE DEXAMETASONA,125680126,25351045969200573,ACETATO DE DEXAMETASONA,Genérico,73856593000166,PRATI DONADUZZI & CIA LTDA
455469,ACETATO DE DEXAMETASONA,104971334,25351072733200691,ACETATO DE DEXAMETASONA,Genérico,60665981000118,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A
670017,ACETATO DE PREDNISOLONA,154230190,25351735051200998,ACETATO DE PREDNISOLONA,Genérico,03485572000104,GEOLAB INDÚSTRIA FARMACÊUTICA S/A
604642,ACETATO DE SÓDIO,164000004,25351722910200853,ACETATO DE SÓDIO TRI-HIDRATADO ,Específico,05155425000193,VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA
69852,ACETAZONA,109630046,250000387869882,"ACETATO DE DEXAMETASONA, DEXAMETASONA",Similar,06597801000162,THEODORO F SOBRAL & CIA LTDA
1302789,ACETILCISTEINA,105730648,25351856205201821,ACETILCISTEÍNA,Genérico,60659463002992,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A
722980,ACETILCISTEINA,155840519,25351663290201025,ACETILCISTEÍNA,Genérico,05161069000110,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A
124753,ACETILCISTEINA,100430772,253510323530183,ACETILCISTEÍNA,Genérico,61190096000192,EUROFARMA LABORATÓRIOS S.A.
520950,ACETILCISTEÍNA,154230108,25351100546200795,ACETILCISTEÍNA,Genérico,03485572000104,GEOLAB INDÚSTRIA FARMACÊUTICA S/A
344390,ACETILCISTEÍNA,125680100,25351025540200306,ACETILCISTEÍNA,Genérico,73856593000166,PRATI DONADUZZI & CIA LTDA
409053,ACETILCISTEÍNA,125680127,25351043353200568,ACETILCISTEÍNA,Genérico,73856593000166,PRATI DONADUZZI & CIA LTDA
566603,ACETONIDA DE TRIANCINOLONA,154230131,25351051802200894,ACETONIDA DE TRIANCINOLONA,Genérico,03485572000104,GEOLAB INDÚSTRIA FARMACÊUTICA S/A
352705,ACETONIDO DE TRIANCINOLONA+SULFATO DE NEOMICINA+GRAMICIDINA+NISTATINA,102350651,25351050818200375,"TRIANCINOLONA ACETONIDA, SULFATO DE NEOMICINA, GRAMICIDINA, NISTATINA",Genérico,57507378000365,EMS S/A
1330463,ACEZO,102980564,25351338698201901,ácido zoledrônico monoidratado,Similar,44734671000151,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.
465,ACFOL,107150066,2500000404788,ÁCIDO FÓLICO,Específico,44010437000181,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA
385200,ACHEFLAN,105730341,25351148578200429,CORDIA VERBENACEA DC.,Fitoterápico,60659463002992,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A
385200,ACHEFLAN,105730341,25351148578200429,CORDIA VERBENACEA DC.,Fitoterápico,60659463002992,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A
356577,ACICLOMED,143810023,250000296259771,ACICLOVIR,Similar,02814497000107,CIMED INDUSTRIA S.A
1298326,ACICLOR,106890205,25351851846201899,ACICLOVIR,Similar,92695691000103,KLEY HERTZ FARMACEUTICA S.A
1292340,ACICLOVIR,105730556,25351689341201807,ACICLOVIR,Genérico,60659463002992,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A
1295250,ACICLOVIR,105730568,25351691204201824,ACICLOVIR,Genérico,60659463002992,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A
289,ACICLOVIR,102980250,253510150080068,ACICLOVIR,Genérico,44734671000151,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.
1002839,ACICLOVIR,103700610,25351390564201488,"ACICLOVIR, ACICLOVIR SÓDICO",Genérico,17159229000176,LABORATÓRIO TEUTO BRASILEIRO S/A
280,ACICLOVIR,100890280,253510144630108,ACICLOVIR,Genérico,33069212000184,MERCK S/A
452468,ACICLOVIR,118190065,25351026616200655,ACICLOVIR,Genérico,92265552000905,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
356845,ACICLOVIR,125680111,25351001249200415,ACICLOVIR,Genérico,73856593000166,PRATI DONADUZZI & CIA LTDA
503807,ACICLOVIR,125680163,25351339870200611,ACICLOVIR,Genérico,73856593000166,PRATI DONADUZZI & CIA LTDA
319,ACICLOVIR,123520057,253510276040081,ACICLOVIR,Genérico,73663650000190,RANBAXY FARMACÊUTICA LTDA
164974,ACICLOVIR,100470329,253510190060165,ACICLOVIR,Genérico,61286647000116,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA
1025912,ACICLOVIR,183260160,25351649669201426,ACICLOVIR,Genérico,10588595001092,SANOFI MEDLEY FARMACÊUTICA LTDA.
1232071,ACICLOVIR,104971416,25351655883201797,"ACICLOVIR, ACICLOVIR SÓDICO",Genérico,60665981000118,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A
346,ACIDO ACETILSALICILICO,102350508,253510074230165,ÁCIDO ACETILSALICÍLICO,Genérico,57507378000365,EMS S/A
2825798,ACIDO MEFENAMICO,135170062,25351330137202170,ÁCIDO MEFENÂMICO,Genérico,48344725000719,Althaia S.A Indústria Farmacêutica
904422,ACIDO TRANEXAMICO,116370099,25351323698201362,ÁCIDO TRANEXÂMICO,Genérico,58430828000160,BLAU FARMACÊUTICA S.A.
655614,ACIDO TRANEXAMICO,167730151,25351125006200958,ÁCIDO TRANEXÂMICO,Genérico,05044984000126,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA
847570,ACIDO ZOLEDRONICO,155620038,25351469106201283,ácido zoledrônico monoidratado,Genérico,05439635000103,ANTIBIÓTICOS DO BRASIL LTDA
820784,ACIDO ZOLEDRONICO,116370129,25351194444201251,ácido zoledrônico monoidratado,Genérico,58430828000160,BLAU FARMACÊUTICA S.A.
856620,ACIDO ZOLEDRONICO,102980415,25351572082201289,ácido zoledrônico monoidratado,Genérico,44734671000151,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.
313,ACIVIRAX,115600082,250000092449947,ACICLOVIR,Similar,17562075000169,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA
1337114,ACLAF,103850115,25351191156201950,"AMOXICILINA TRI-hIDRATADA, CLAVULANATO DE POTÁSSIO",Similar,83874628000143,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA
1339223,ACLAF,103850116,25351191169201929,"AMOXICILINA TRI-hIDRATADA, CLAVULANATO DE POTÁSSIO",Similar,83874628000143,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA
3616828,ACLASTA,100470654,25351275153202354,ácido zoledrônico monoidratado,Novo,61286647000116,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA
1182359,ACNASE,109740239,25351314228201761,"PERÓXIDO DE BENZOÍLA, ENXOFRE",Similar,49475833000106,BIOLAB SANUS FARMACÊUTICA LTDA
1139302,ACNOVA,105830844,25351546841201502,ISOTRETINOÍNA,Similar,45992062000165,GERMED FARMACEUTICA LTDA
1166654,ACOG,105250085,25351230018201731,RIVAROXABANA,Similar,33078528000132,TORRENT DO BRASIL LTDA
3218765,ACTFIO,155840621,25351591609202169,MINOXIDIL,Similar,05161069000110,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A
358271,ACTIFEDRIN,103900155,25351016602200461,"CLORIDRATO DE PSEUDOEFEDRINA, CLORIDRATO DE TRIPROLIDINA",Novo,33349473000158,FARMOQUÍMICA S/A
429480,ACTILYSE,103670049,2500100300787,ALTEPLASE,Novo,60831658000177,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.
1339554,ACTIVE PLUS,111990031,25351411851201943,SENNA ALEXANDRINA MILL.,Fitoterápico,33223157000135,MAKROFARMA QUIMICA FARMACEUTICA LTDA
1887689,ACTONEL,174650009,25351591197202086,RISEDRONATO SÓDICO,Novo,09058502000148,FARMA VISION IMPORTAÇÃO E EXPORTAÇÃO DE MEDICAMENTOS LTDA
737318,ACU FRESH,154230230,25351014464201114,CARMELOSE SÓDICA,Específico,03485572000104,GEOLAB INDÚSTRIA FARMACÊUTICA S/A
1665757,ACU FRESH G,154230322,25351548553202041,"CARMELOSE SÓDICA, GLICEROL",Específico,03485572000104,GEOLAB INDÚSTRIA FARMACÊUTICA S/A
343172,ACULAR,101470046,250000149379357,trometamol cetorolaco ,Novo,43426626000177,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA
3644851,ACZEO,155840675,25351040890202257,ácido azelaico,Similar,05161069000110,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A
442419,AD FURP,110390022,2500100927182,"PALMITATO DE RETINOL, COLECALCIFEROL, OXIDO DE ZINCO, ÓXIDO DE ZINCO",Específico,43640754000119,FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP
165721,AD-MUC,109740172,25351217831200230,MATRICARIA RECUTITA L.,Fitoterápico,49475833000106,BIOLAB SANUS FARMACÊUTICA LTDA
165721,AD-MUC,109740172,25351217831200230,MATRICARIA RECUTITA L.,Fitoterápico,49475833000106,BIOLAB SANUS FARMACÊUTICA LTDA
2191051,AD-TIL,178170914,25351109985202111,"ACETATO DE RETINOL, COLECALCIFEROL",Específico,61082426000207,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
961497,AD-VITAM,138410065,25351010447201453,"ACETATO DE RETINOL, COLECALCIFEROL",Específico,02456955000183,NATULAB LABORATÓRIO S.A
1347701,ADACEL,183260400,25351412010201953,"Toxóide pertussis, Hemaglutinina Filamentosa, Toxóide diftérico, AGLUTINÓGENOS FIMBRIAIS DE BORDETELLA PERTUSSIS DOS SOROTIPOS 2 E 3, Toxóide Tetânico, Pertactina, pertactina",Biológico,10588595001092,SANOFI MEDLEY FARMACÊUTICA LTDA.
439453,ADACNE,110130230,25351126287200561,ADAPALENO,Similar,44363661000157,GLENMARK FARMACÊUTICA LTDA
494068,ADACNE CLIN,110130249,25351351901200521,"ADAPALENO, FOSFATO DE CLINDAMICINA",Novo,44363661000157,GLENMARK FARMACÊUTICA LTDA
1014744,ADAPALENO,183260039,25351688711201491,ADAPALENO,Genérico,10588595001092,SANOFI MEDLEY FARMACÊUTICA LTDA.
1337564,ADAPTIS GEL,167730625,25351595392201601,carbômer 940,Específico,05044984000126,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA
876920,ADCETRIS,106390269,25351058806201395,brentuximabe vedotina,Biológico,60397775000174,TAKEDA PHARMA LTDA.
1258261,ADDAVEN,100410165,25351325190201853,"CLORETO DE ZINCO, CLORETO FÉRRICO, FLUORETO DE SÓDIO, CLORETO CÚPRICO, dicloreto de manganês tetraidratado, SELENITO DE SÓDIO, IODETO DE POTÁSSIO, CLORETO CRÔMICO HEXAIDRATADO, molibdato de sódio diidratado",Específico,49324221000104,FRESENIUS KABI BRASIL LTDA
727549,ADDERA D3,178170028,25351651342200927,COLECALCIFEROL,Específico,61082426000207,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
1031,ADENON,100610007,2599202296475,"BARYTA CARBONICA, BERBERIS VULGARIS L., CALCAREA CARBONICA, MERCURIUS SULPHURATUS RUBER",Dinamizado,56992217000180,WELEDA DO BRASIL LABORATÓRIO E FARMÁCIA LTDA
663751,ADENOSINA,113430182,25351669437200943,ADENOSINA,Genérico,19570720000110,HIPOLABOR FARMACEUTICA LTDA
1091467,ADILOZ,102351223,25351864707201647,LINEZOLIDA,Similar,57507378000365,EMS S/A
623581,ADINOS,105730378,25351825989200846,DESONIDA,Novo,60659463002992,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A
645973,ADINOS GEN,105730407,25351163689200998,"DESONIDA, SULFATO DE GENTAMICINA",Novo,60659463002992,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A
932363,ADIPEPT,105730462,25351278967201217,PANTOPRAZOL SÓDICO SESQUI-HIDRATADO,Similar,60659463002992,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A
1353769,ADLYV,141070637,25351532892201972,IBUPROFENO,Similar,02501297000102,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.
273891,ADOLESS,103900140,253510382620142,"GESTODENO, ETINILESTRADIOL",Similar,33349473000158,FARMOQUÍMICA S/A
1329308,ADORLAN,186100017,25351559471201609,"CLORIDRATO DE TRAMADOL, DICLOFENACO SÓDICO",Novo,10555143000113,GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.
512,ADREN,113430001,2500100141686,EPINEFRINA,Similar,19570720000110,HIPOLABOR FARMACEUTICA LTDA
1392505,ADVANTAN,185690010,25351711143201918,ACEPONATO DE METILPREDNISOLONA,Novo,11424477000110,LEO PHARMA LTDA
1477469,ADVATE,106390288,25351779075202010,alfaoctocogue,Biológico,60397775000174,TAKEDA PHARMA LTDA.
3576508,ADVIL,192900005,25351400358202201,IBUPROFENO,Similar,30872270000153,PF Consumer Healthcare Brazil Importadora e Distribuidora de Medicamentos Ltda
3576107,ADVIPRO,192900004,25351400206202209,DICLOFENACO DIETILAMÔNIO,Similar,30872270000153,PF Consumer Healthcare Brazil Importadora e Distribuidora de Medicamentos Ltda
1477740,ADYNOVATE,106390297,25351779248202008,ALFARURIOCTOCOGUE PEGOL,Biológico,60397775000174,TAKEDA PHARMA LTDA.
7315,AERODINI,103700096,250000003279609,"SALBUTAMOL, SULFATO DE SALBUTAMOL",Similar,17159229000176,LABORATÓRIO TEUTO BRASILEIRO S/A
1040569,AERODIVENT,103700631,25351640423201411,BROMETO DE IPRATRÓPIO,Similar,17159229000176,LABORATÓRIO TEUTO BRASILEIRO S/A
7332,AEROFRIN,117170009,250000164699804,"SULFATO DE SALBUTAMOL, SULFATO DE SALBUTAMOL MICRONIZADO",Similar,25773037000183,PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A
3002715,AEROGOLD,110130292,25351850009202148,SULFATO DE SALBUTAMOL MICRONIZADO,Similar,44363661000157,GLENMARK FARMACÊUTICA LTDA
374837,AEROLIN,101070226,25351108915200445,"SOLUCAO DE SALBUTAMOL, SULFATO DE SALBUTAMOL",Novo,33247743000110,GLAXOSMITHKLINE BRASIL LTDA
594831,AEROTRAT,107150015,2599200841672,"SALBUTAMOL, SULFATO DE SALBUTAMOL",Similar,44010437000181,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA
3692882,AFAX,125680342,25351955852202462,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO,Similar,73856593000166,PRATI DONADUZZI & CIA LTDA
2804281,AFECSO,103920238,25351877894202111,CLORIDRATO DE FEXOFENADINA,Similar,30222814000131,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA
3627371,AFETUS,100431492,25351397561202366,CLORIDRATO DE SERTRALINA,Similar,61190096000192,EUROFARMA LABORATÓRIOS S.A.
599975,AFINITOR,100681065,25351571868200804,EVEROLIMO,Novo,56994502000130,NOVARTIS BIOCIENCIAS S.A
671607,AFOLIC,138410050,25351753177200986,ÁCIDO FÓLICO,Específico,02456955000183,NATULAB LABORATÓRIO S.A
450,AFOPIC,103700157,250000284319669,ÁCIDO FÓLICO,Específico,17159229000176,LABORATÓRIO TEUTO BRASILEIRO S/A
1086042,AFRAT,102980425,25351120874201518,ibandronato de sódio,Similar,44734671000151,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.
1213730,AFREZZA,133480002,25351600824201781,INSULINA HUMANA,Biológico,04752991000110,BIOMM SA
1180772,AFRIN,170560112,25351063419201701,CLORIDRATO DE OXIMETAZOLINA,Novo,18459628000115,BAYER S.A.
1294137,AFSTYLA,101510130,25351810172201872,ALFALONOCTOCOGUE,Biológico,62969589000198,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA
6077,AFTINE,115600080,250000092349993,"SULFATO DE NEOMICINA, TARTARATO DE BISMUTO E SÓDIO, MENTOL, CLORIDRATO DE PROCAÍNA",Similar,17562075000169,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA
3613308,AGATHA,121100495,25351227830202328,PALBOCICLIBE,Similar,61072393000133,PFIZER BRASIL LTDA
1249417,AGIOLAX,188300049,25351067920201896,"PLANTAGO OVATA FORSSK., SENNA ALEXANDRINA MILL.",Fitoterápico,11643096000122,VIATRIS FARMACEUTICA DO BRASIL LTDA
3471183,AGLITIL,118190297,25351063013202254,CLORIDRATO DE PIOGLITAZONA,Similar,92265552000905,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
168824,AGLUCOSE,135690035,25351213147200289,ACARBOSE,Similar,00923140000131,EMS SIGMA PHARMA LTDA
1404553,AGOXOM,112780082,25351505467201919,AGOMELATINA,Similar,42374207000176,LABORATÓRIOS SERVIER DO BRASIL LTDA
721570,AGRASTAT,137640120,25351065824200997,CLORIDRATO DE TIROFIBANA,Novo,02433631000120,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA
1558022,AGRYLIN,106390302,25351778268202053,CLORIDRATO DE ANAGRELIDA,Novo,60397775000174,TAKEDA PHARMA LTDA.
362221,AGUA INGLESA CATARINENSE,100660002,2599100890379,CINCHONA CALISAYA WEDD.,Fitoterápico,84684620000187,LABORATORIO CATARINENSE LTDA
902740,AGUA PARA INJETAVEIS,116370084,25351325198201314,ÁGUA PARA INJETÁVEIS,Específico,58430828000160,BLAU FARMACÊUTICA S.A.
1448624,AGUA PARA INJEÇAO,102980539,25351606944202098,ÁGUA PARA INJEÇÃO,Específico,44734671000151,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.
397564,AGUA PARA INJEÇÃO,117720024,25351281920200400,"ÁGUA ESTÉRIL PARA INJEÇÃO, ÁGUA PARA INJEÇÃO",Específico,01784792000103,EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA
1287012,AGUD,109740273,25351368050201870,"PARACETAMOL, FOSFATO DE CODEÍNA",Similar,49475833000106,BIOLAB SANUS FARMACÊUTICA LTDA
1131079,AH-ZUL,167730460,25351375923201558,CITRATO DE SILDENAFILA,Similar,05044984000126,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA
3568411,AILUK,110130296,25351445621202283,DIPROPIONATO DE BECLOMETASONA,Similar,44363661000157,GLENMARK FARMACÊUTICA LTDA
3005803,AILUK,110130293,25351850164202164,DIPROPIONATO DE BECLOMETASONA,Similar,44363661000157,GLENMARK FARMACÊUTICA LTDA
1225969,AIPRI,178170852,25351658662201771,ARIPIPRAZOL,Similar,61082426000207,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
2857773,AIR SALONPAS,110520004,25351635106202111,"LEVOMENTOL, CÂNFORA, SALICILATO DE METILA, SALICILATO DE ETILENOGLICOL",Específico,49383250000147,HISAMITSU FARMACÊUTICA DO BRASIL LTDA
3383718,AIRES,100431437,25351199014202236,ACETILCISTEÍNA,Similar,61190096000192,EUROFARMA LABORATÓRIOS S.A.
2720454,AIRES,100431371,25351049681202198,ACETILCISTEÍNA,Similar,61190096000192,EUROFARMA LABORATÓRIOS S.A.
1294133,AJOVY,155730050,25351802291201851,FREMANEZUMABE,Biológico,05333542000108,TEVA FARMACÊUTICA LTDA.
2583252,AKALMESE,144930061,25351662077202151,Passiflora incarnata L.,Fitoterápico,01858973000129,AIRELA INDÚSTRIA FARMACÊUTICA LTDA.
2583252,AKALMESE,144930061,25351662077202151,Passiflora incarnata L.,Fitoterápico,01858973000129,AIRELA INDÚSTRIA FARMACÊUTICA LTDA.
